run_id,seed,pca_components,reps,entanglement,status,error
1,42,2,1,linear,SUCCESS,None
2,42,2,1,full,SUCCESS,None
3,42,2,2,linear,SUCCESS,None
4,42,2,2,full,SUCCESS,None
5,42,2,3,linear,SUCCESS,None
6,42,2,3,full,SUCCESS,None
7,42,4,1,linear,SUCCESS,None
8,42,4,1,full,SUCCESS,None
9,42,4,2,linear,SUCCESS,None
10,42,4,2,full,SUCCESS,None
11,42,4,3,linear,SUCCESS,None
12,42,4,3,full,SUCCESS,None
13,123,2,1,linear,SUCCESS,None
14,123,2,1,full,SUCCESS,None
15,123,2,2,linear,SUCCESS,None
16,123,2,2,full,SUCCESS,None
17,123,2,3,linear,SUCCESS,None
18,123,2,3,full,SUCCESS,None
19,123,4,1,linear,SUCCESS,None
20,123,4,1,full,SUCCESS,None
21,123,4,2,linear,SUCCESS,None
22,123,4,2,full,SUCCESS,None
23,123,4,3,linear,SUCCESS,None
24,123,4,3,full,SUCCESS,None
25,456,2,1,linear,SUCCESS,None
26,456,2,1,full,SUCCESS,None
27,456,2,2,linear,SUCCESS,None
28,456,2,2,full,SUCCESS,None
29,456,2,3,linear,SUCCESS,None
30,456,2,3,full,SUCCESS,None
31,456,4,1,linear,SUCCESS,None
32,456,4,1,full,SUCCESS,None
33,456,4,2,linear,SUCCESS,None
34,456,4,2,full,SUCCESS,None
35,456,4,3,linear,SUCCESS,None
36,456,4,3,full,SUCCESS,None
37,789,2,1,linear,SUCCESS,None
38,789,2,1,full,SUCCESS,None
39,789,2,2,linear,SUCCESS,None
40,789,2,2,full,SUCCESS,None
41,789,2,3,linear,SUCCESS,None
42,789,2,3,full,SUCCESS,None
43,789,4,1,linear,SUCCESS,None
44,789,4,1,full,SUCCESS,None
45,789,4,2,linear,SUCCESS,None
46,789,4,2,full,SUCCESS,None
47,789,4,3,linear,SUCCESS,None
48,789,4,3,full,SUCCESS,None
49,2026,2,1,linear,SUCCESS,None
50,2026,2,1,full,SUCCESS,None
51,2026,2,2,linear,SUCCESS,None
52,2026,2,2,full,SUCCESS,None
53,2026,2,3,linear,SUCCESS,None
54,2026,2,3,full,SUCCESS,None
55,2026,4,1,linear,SUCCESS,None
56,2026,4,1,full,SUCCESS,None
57,2026,4,2,linear,SUCCESS,None
58,2026,4,2,full,SUCCESS,None
59,2026,4,3,linear,SUCCESS,None
60,2026,4,3,full,SUCCESS,None
