seed,model,kernel,pca_components,n_features,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time,total_runtime
42,Linear SVM — PCA 2,linear,2,2,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9884259259259259,0.003775099999984377,0.0009956999997484672,0.004770799999732844
42,RBF SVM — PCA 2,rbf,2,2,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.986441798941799,0.0021400999999059422,0.0017301000002589717,0.003870200000164914
42,Polynomial SVM — PCA 2,poly,2,2,0.9298245614035088,1.0,0.8095238095238095,0.8947368421052632,0.9857804232804233,0.0027173999997103238,0.0007705000002715678,0.0034878999999818916
42,Linear SVM — PCA 4,linear,4,4,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9927248677248678,0.002235099999779777,0.0005601999996542872,0.0027952999994340644
42,RBF SVM — PCA 4,rbf,4,4,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9930555555555556,0.0020792999998775485,0.0018976999999722466,0.003976999999849795
42,Polynomial SVM — PCA 4,poly,4,4,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.986111111111111,0.0021827000000484986,0.0011048999999729858,0.0032876000000214844
123,Linear SVM — PCA 2,linear,2,2,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9943783068783069,0.0028812000000471016,0.0009623000000829052,0.003843500000130007
123,RBF SVM — PCA 2,rbf,2,2,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9910714285714285,0.003079799999795796,0.002817999999933818,0.005897799999729614
123,Polynomial SVM — PCA 2,poly,2,2,0.9035087719298246,0.9696969696969697,0.7619047619047619,0.8533333333333334,0.9900793650793651,0.004016500000034284,0.001406200000019453,0.005422700000053737
123,Linear SVM — PCA 4,linear,4,4,0.9824561403508771,0.9545454545454546,1.0,0.9767441860465116,0.9973544973544973,0.0035951999998360407,0.0009789999999156862,0.004574199999751727
123,RBF SVM — PCA 4,rbf,4,4,0.9824561403508771,0.9545454545454546,1.0,0.9767441860465116,0.9983465608465608,0.002122200000030716,0.0020910000002913876,0.004213200000322104
123,Polynomial SVM — PCA 4,poly,4,4,0.9210526315789473,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.9957010582010581,0.002108700000007957,0.0008311999999932596,0.0029399000000012165
456,Linear SVM — PCA 2,linear,2,2,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9894179894179894,0.0020333999996182683,0.0005357000000003609,0.0025690999996186292
456,RBF SVM — PCA 2,rbf,2,2,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.980489417989418,0.0019607999997788284,0.0014536999997289968,0.003414499999507825
