seed,pca_components,historical_architecture,historical_C,historical_f1,historical_accuracy,historical_roc_auc,corrected_architecture,corrected_C,corrected_f1,corrected_accuracy,corrected_roc_auc,delta_f1_corrected_minus_historical,delta_accuracy_corrected_minus_historical,delta_roc_auc_corrected_minus_historical,classical_f1,classical_minus_historical_qsvc_f1,classical_minus_corrected_qsvc_f1,corrected_qsvc_outperforms_classical
42,2,"reps=1, entanglement=full",100.0,0.891566265060241,0.9210526315789472,0.9808201058201058,"reps=1, entanglement=linear",100.0,0.891566265060241,0.9210526315789472,0.9808201058201058,0.0,0.0,0.0,0.9302325581395348,0.03866629307929381,0.03866629307929381,False
42,4,"reps=1, entanglement=full",1.0,0.9069767441860463,0.9298245614035088,0.968584656084656,"reps=1, entanglement=full",1.0,0.9069767441860463,0.9298245614035088,0.968584656084656,0.0,0.0,0.0,0.951219512195122,0.04424276800907567,0.04424276800907567,False
123,2,"reps=1, entanglement=full",100.0,0.9176470588235294,0.9385964912280702,0.9811507936507936,"reps=1, entanglement=linear",100.0,0.9176470588235294,0.9385964912280702,0.9811507936507936,0.0,0.0,0.0,0.9411764705882352,0.0235294117647058,0.0235294117647058,False
123,4,"reps=1, entanglement=full",1.0,0.9523809523809524,0.9649122807017544,0.9917328042328042,"reps=1, entanglement=full",1.0,0.9523809523809524,0.9649122807017544,0.9917328042328042,0.0,0.0,0.0,0.9767441860465116,0.024363233665559147,0.024363233665559147,False
456,2,"reps=1, entanglement=full",1.0,0.8533333333333334,0.9035087719298246,0.9818121693121692,"reps=1, entanglement=linear",1.0,0.8533333333333334,0.9035087719298246,0.9818121693121692,0.0,0.0,0.0,0.926829268292683,0.07349593495934958,0.07349593495934958,False
456,4,"reps=1, entanglement=full",1.0,0.825,0.8771929824561403,0.9368386243386244,"reps=1, entanglement=full",1.0,0.825,0.8771929824561403,0.9368386243386244,0.0,0.0,0.0,0.9135802469135802,0.08858024691358024,0.08858024691358024,False
789,2,"reps=1, entanglement=full",10.0,0.8157894736842105,0.8771929824561403,0.9282407407407408,"reps=1, entanglement=linear",10.0,0.8157894736842105,0.8771929824561403,0.9282407407407408,0.0,0.0,0.0,0.9411764705882352,0.12538699690402466,0.12538699690402466,False
789,4,"reps=1, entanglement=full",1.0,0.8461538461538461,0.8947368421052632,0.9540343915343916,"reps=1, entanglement=full",1.0,0.8461538461538461,0.8947368421052632,0.9540343915343916,0.0,0.0,0.0,0.951219512195122,0.10506566604127587,0.10506566604127587,False
2026,2,"reps=1, entanglement=full",10.0,0.8604651162790697,0.8947368421052632,0.9497354497354497,"reps=1, entanglement=linear",10.0,0.8604651162790697,0.8947368421052632,0.9497354497354497,0.0,0.0,0.0,0.9302325581395348,0.06976744186046502,0.06976744186046502,False
2026,4,"reps=1, entanglement=full",1.0,0.8297872340425532,0.8596491228070176,0.939484126984127,"reps=1, entanglement=full",1.0,0.8297872340425532,0.8596491228070176,0.939484126984127,0.0,0.0,0.0,0.9534883720930232,0.12370113805047,0.12370113805047,False
