seed,pca_components,n_qubits,inner_fold,reps,entanglement,C,n_inner_train,n_inner_validation,kernel_cache_id,kernel_runtime_shared_across_C,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
42,2,2,1,1,linear,0.01,364,91,seed=42|dim=2|fold=1|reps=1|ent=linear,0.15372439999919152,0.6263736263736264,0.0,0.0,0.0,0.957688338493292
42,2,2,1,1,linear,0.1,364,91,seed=42|dim=2|fold=1|reps=1|ent=linear,0.15372439999919152,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9659442724458205
42,2,2,1,1,linear,1.0,364,91,seed=42|dim=2|fold=1|reps=1|ent=linear,0.15372439999919152,0.9120879120879121,0.9333333333333333,0.8235294117647058,0.875,0.9742002063983488
42,2,2,1,1,linear,10.0,364,91,seed=42|dim=2|fold=1|reps=1|ent=linear,0.15372439999919152,0.9120879120879121,0.9333333333333333,0.8235294117647058,0.875,0.9721362229102167
42,2,2,1,1,linear,100.0,364,91,seed=42|dim=2|fold=1|reps=1|ent=linear,0.15372439999919152,0.9340659340659341,0.9375,0.8823529411764706,0.9090909090909091,0.9721362229102166
42,2,2,1,2,linear,0.01,364,91,seed=42|dim=2|fold=1|reps=2|ent=linear,0.24572110000008252,0.6263736263736264,0.0,0.0,0.0,0.9251805985552115
42,2,2,1,2,linear,0.1,364,91,seed=42|dim=2|fold=1|reps=2|ent=linear,0.24572110000008252,0.8021978021978022,0.8076923076923077,0.6176470588235294,0.7,0.9375644994840041
42,2,2,1,2,linear,1.0,364,91,seed=42|dim=2|fold=1|reps=2|ent=linear,0.24572110000008252,0.8681318681318682,0.8928571428571429,0.7352941176470589,0.8064516129032258,0.9551083591331269
42,2,2,1,2,linear,10.0,364,91,seed=42|dim=2|fold=1|reps=2|ent=linear,0.24572110000008252,0.9010989010989011,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.9643962848297214
42,2,2,1,2,linear,100.0,364,91,seed=42|dim=2|fold=1|reps=2|ent=linear,0.24572110000008252,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9654282765737875
42,2,2,1,3,linear,0.01,364,91,seed=42|dim=2|fold=1|reps=3|ent=linear,0.3419228999991901,0.6263736263736264,0.0,0.0,0.0,0.9158926728586171
42,2,2,1,3,linear,0.1,364,91,seed=42|dim=2|fold=1|reps=3|ent=linear,0.3419228999991901,0.7252747252747253,0.9090909090909091,0.29411764705882354,0.4444444444444444,0.9179566563467492
42,2,2,1,3,linear,1.0,364,91,seed=42|dim=2|fold=1|reps=3|ent=linear,0.3419228999991901,0.8241758241758241,0.8,0.7058823529411765,0.75,0.913828689370485
42,2,2,1,3,linear,10.0,364,91,seed=42|dim=2|fold=1|reps=3|ent=linear,0.3419228999991901,0.8681318681318682,0.84375,0.7941176470588235,0.8181818181818182,0.9220846233230134
42,2,2,1,3,linear,100.0,364,91,seed=42|dim=2|fold=1|reps=3|ent=linear,0.3419228999991901,0.8791208791208791,0.8484848484848485,0.8235294117647058,0.835820895522388,0.9262125902992776
42,2,2,2,1,linear,0.01,364,91,seed=42|dim=2|fold=2|reps=1|ent=linear,0.15015739999944344,0.6263736263736264,0.0,0.0,0.0,0.9700722394220846
