seed,pca_components,n_qubits,reps,entanglement,selected_C,inner_cv_f1_mean,inner_cv_f1_std,n_folds,selection_metric,selection_status
42,2,2,1,linear,100.0,0.8828645980884786,0.036477720020959344,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
42,4,4,1,full,1.0,0.871281863916135,0.06713444562023267,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
123,2,2,1,linear,100.0,0.9015295718494747,0.06833004080349386,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
123,4,4,1,full,1.0,0.8387472249514367,0.020182267091518342,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
456,2,2,1,linear,1.0,0.8753691872643486,0.044649034834095214,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
456,4,4,1,full,1.0,0.8383281914164268,0.05115598345006372,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
789,2,2,1,linear,10.0,0.8710686328596777,0.054089123131788513,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
789,4,4,1,full,1.0,0.8630601343101343,0.042695266598185566,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
2026,2,2,1,linear,10.0,0.8726344388310328,0.02078361906263685,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
2026,4,4,1,full,1.0,0.8701724208627194,0.0345172065938307,5,malignant_f1,FROZEN_BEFORE_OUTER_EVALUATION
