seed,pca_components,n_qubits,rbf_gamma_spec,rbf_gamma_numeric,cka_alignment,frobenius_alignment,rbf_offdiag_mean,rbf_offdiag_std,rbf_effective_rank,rbf_condition_number,rbf_min_eigenvalue,rbf_max_eigenvalue,quantum_offdiag_mean,quantum_offdiag_std,quantum_effective_rank,quantum_condition_number,quantum_min_eigenvalue,quantum_max_eigenvalue
42,2,2,0.1,0.1,0.7129766165263687,0.8579995097397846,0.2834252176875985,0.318200461168351,10.567152933419516,1.6566501757412106e+19,-3.246075391579959e-14,171.22787770919672,0.31798351316992307,0.29250907705572277,7.467798213445223,6.529707279394088e+19,-4.190997922966006e-14,160.52345455295853
42,4,4,0.01,0.01,0.3353230746107492,0.7152949011759061,0.6848745911980325,0.2335727935980535,3.3080859434665224,4.4323196270650307e+18,-1.0709935433900862e-15,323.74078111890543,0.0993551007981607,0.10723751009006618,90.76350609256545,8.269101762221146e+19,-4.137894369771594e-15,50.71724989509386
123,2,2,0.1,0.1,0.7029148890202754,0.8579166281744557,0.28042390899660696,0.31477823743521366,10.736845192602155,1.1732192555428612e+19,-9.032524643375015e-15,168.19194592255204,0.3281926297887239,0.2922836143377489,7.2645726419269785,6.12980565094793e+19,-3.855036678527072e-14,163.31250942411174
123,4,4,scale,0.04183588603718517,0.42022286763107275,0.7321254745060413,0.34062354049356786,0.28147783614592237,12.414896497939681,34695294448964.03,5.334950968278145e-12,185.06423572034248,0.09815245554695269,0.10382247603873825,92.66509533443225,2.3671685761644265e+19,-4.176558789725161e-15,48.87740089904774
456,2,2,scale,0.05173133063408285,0.6320929839886693,0.8560667524699014,0.3975390092437439,0.33352454700227224,6.575567040413522,4.13155421587957e+19,-1.901621217867179e-14,215.9201486082498,0.3292648563713973,0.2930560289778169,7.192574436914829,1.6104117778948604e+20,-3.8888084370003485e-14,163.1493301799055
456,4,4,scale,0.041763128983960764,0.3914065557718694,0.7208685703269947,0.33792800480807716,0.2838245199912054,12.494137020519336,26955324618673.18,6.86293043478154e-12,184.98735260796798,0.09615477236815732,0.1010190217406299,96.98518370490112,2.400716190184982e+18,-2.492294777414876e-15,47.919155940573035
789,2,2,0.01,0.01,0.44096115224056315,0.8086626433592028,0.7420624385581618,0.22971089197337635,2.3683429610798568,2.658240796034464e+19,-5.714165958409853e-14,347.4867192810599,0.3310537557319528,0.2922184560126905,7.15824661757768,1.1196670645774739e+20,-4.589444194037447e-14,164.08615211180359
789,4,4,0.01,0.01,0.24737392185247847,0.7000314491025096,0.6834510070177318,0.2268380681644523,3.3256849737905565,9.317743715862176e+19,-2.8594075742134157e-16,321.8995709107947,0.09110109857712465,0.09469003378948905,104.80226767533655,5.955055561148099e+18,-4.287472040836372e-15,44.939163084236
2026,2,2,0.01,0.01,0.3769670563815256,0.7912230794684482,0.7438390437529363,0.2319196225039432,2.35346618506479,1.5466510820013753e+21,-4.4405775404676387e-14,348.77170034868743,0.3154176181473804,0.2837420416958258,7.644102961949965,1.3842293304902834e+19,-4.5997834133145185e-14,154.55208153505873
2026,4,4,0.01,0.01,0.2932969767030648,0.7125106551900773,0.6857549352172606,0.230189601827744,3.304889151795222,2.782022439077368e+18,-1.806699849580776e-15,323.6278545826108,0.09565953974762822,0.10067014163195774,97.20956591786104,1.6112264931249658e+19,-2.8135536992300696e-15,47.72951496818949
