Model,PCA Components,Qubits,Feature Map,Accuracy Mean,Accuracy SD,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Mean,F1 SD,ROC-AUC Mean,ROC-AUC SD,Runtime Mean,Runtime SD
Tuned Classical SVM (Inner-Selected Comparator),2,0,Linear / RBF (Inner CV Selected),0.9508771929824562,0.004804583837764569,0.9257293868921777,0.017199546871082473,0.9428571428571428,0.02129588549999802,0.9339294651496445,0.006759904103319975,0.986574074074074,0.007440843612327231,0.006459560000075679,0.0029471541504007778
"Tuned QSVC (reps=1, full)",2,2,"ZZ feature map (reps=1, full)",0.9070175438596492,0.0237004492738707,0.9063573070129408,0.0456627815177702,0.8380952380952381,0.0831630914122522,0.8677602494360768,0.0387870356531109,0.964351851851852,0.0243717155564067,0.2256812799998442,0.0231789053995404
Tuned Classical SVM (Inner-Selected Comparator),4,0,Linear / RBF (Inner CV Selected),0.9631578947368421,0.01569170510526169,0.9570163170163172,0.01841697452449776,0.9428571428571428,0.04641330640385221,0.9492503658886718,0.022660446296958504,0.9941137566137567,0.0038734260487687925,0.00878463999997614,0.005978478468761103
"Tuned QSVC (reps=1, full)",4,4,"ZZ feature map (reps=1, full)",0.9052631578947368,0.042251209048394,0.8747664616085669,0.0766828940857646,0.8761904761904763,0.0831630914122522,0.8720597553526795,0.0555504130597411,0.9581349206349206,0.0226727448265247,0.6598707800001649,0.0862966380826525
Supplementary: Linear SVM — PCA 2,2,0,linear,0.9508771929824562,0.0078458525526308,0.9265607777235684,0.0317647566607156,0.9428571428571428,0.0212958854999979,0.9340794668278668,0.0092803160509434,0.9894179894179894,0.0029761904761904,0.0048339200002374,0.0006988787640893
Supplementary: RBF SVM — PCA 2,2,0,rbf,0.9456140350877192,0.0096091676755291,0.9245313601127554,0.0182120586592014,0.9285714285714284,0.0238095238095237,0.9263143260707573,0.0132862939120351,0.9809523809523808,0.0118601272306762,0.0072198799998659,0.0023965942942098
"Supplementary: QSVC — PCA 2 / 2Q (reps=1, full)",2,2,quantum,0.9070175438596492,0.0237004492738707,0.9063573070129408,0.0456627815177702,0.8380952380952381,0.0831630914122522,0.8677602494360768,0.0387870356531109,0.964351851851852,0.0243717155564067,0.2256812799998442,0.0231789053995404
Supplementary: Linear SVM — PCA 4,4,0,linear,0.968421052631579,0.0100015388166591,0.9671445221445222,0.0254947352576105,0.9476190476190476,0.0391230398217975,0.956537327647178,0.0143249592740623,0.9951719576719578,0.0028600196177829,0.0082914400001754,0.0060895827747792
Supplementary: RBF SVM — PCA 4,4,0,rbf,0.956140350877193,0.0138696388603876,0.9433777720987024,0.0244492956746574,0.938095238095238,0.0398409536444797,0.9401211611330512,0.0198191496952812,0.993452380952381,0.004506342170928,0.0070729400000345,0.0018526864743651
"Supplementary: QSVC — PCA 4 / 4Q (reps=1, full)",4,4,quantum,0.9052631578947368,0.042251209048394,0.8747664616085669,0.0766828940857646,0.8761904761904763,0.0831630914122522,0.8720597553526795,0.0555504130597411,0.9581349206349206,0.0226727448265247,0.6598707800001649,0.0862966380826525
