model,model_family,pca_components,n_qubits,train_size,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,runtime_mean,runtime_std,kernel_total_bytes_mean
Linear SVM — PCA 2,Classical,2,0,50,0.9333333333333332,0.035415139014362,0.9157377379820232,0.0401988850094294,0.9873677248677248,0.0087002956451415,0.0026252199999362,0.0022513607000967,0.0
RBF SVM — PCA 2,Classical,2,0,50,0.926315789473684,0.0281522921682126,0.9007879770915934,0.0353308717199361,0.983862433862434,0.0071935055191422,0.0019315400000778,0.0005324676776814,0.0
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,50,0.8245614035087719,0.0387357932733677,0.7398492726349273,0.0530722718613025,0.8849867724867725,0.0484124047682423,0.0765685200000916,0.0287468252169398,65600.0
Linear SVM — PCA 4,Classical,4,0,50,0.9315789473684212,0.0353063364868388,0.9127577826996432,0.039495829946453,0.9893518518518516,0.0089573072756,0.0016730399998778,0.0005461061554078,0.0
RBF SVM — PCA 4,Classical,4,0,50,0.9421052631578948,0.0294872566911782,0.9222224101678332,0.038456100507403,0.9863756613756614,0.005986271831058,0.0019378200000573,0.0003887727575307,0.0
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,50,0.7263157894736842,0.071640410488054,0.4993941038183068,0.2109778470483522,0.7635582010582012,0.1081650019645069,0.1690349600000445,0.0059485773170809,65600.0
Linear SVM — PCA 2,Classical,2,0,100,0.9473684210526316,0.0175438596491228,0.9286606078324676,0.0226643725059512,0.988425925925926,0.0067285019673861,0.0014396800001122,9.683319147479588e-05,0.0
RBF SVM — PCA 2,Classical,2,0,100,0.924561403508772,0.0237004492738707,0.8965949872036287,0.0316906617335776,0.9848544973544971,0.00915653046708,0.0019664600000396,0.0001932341531089,0.0
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,100,0.8614035087719298,0.0190170906918234,0.7983004356533769,0.0206932372390731,0.921362433862434,0.0101424712467957,0.0779313400002138,0.0095086822659254,171200.0
Linear SVM — PCA 4,Classical,4,0,100,0.9421052631578948,0.0288275030265876,0.9222023760641648,0.035547333739496,0.989021164021164,0.00743643335197,0.0014720599999236,9.428938445466792e-05,0.0
RBF SVM — PCA 4,Classical,4,0,100,0.9385964912280702,0.0138696388603876,0.9154784047992516,0.0217449237833638,0.9883597883597884,0.0044452612470651,0.0019961799999691,0.0002589050732034,0.0
