seed,model,kernel,pca_components,C,gamma,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds
42,Linear SVM — PCA 2,linear,2,0.01,none,0.9099720245499545,0.042743360686526975,0.9362637362637363,0.028444349682516013,0.9882352941176471,0.006131455429313929,5
42,Linear SVM — PCA 2,linear,2,0.1,none,0.9410494120266822,0.023997097184304126,0.956043956043956,0.017375151978947158,0.9885448916408668,0.006500319309916933,5
42,Linear SVM — PCA 2,linear,2,1.0,none,0.9279993947513129,0.0424370892765702,0.9472527472527472,0.02844434968251601,0.9896800825593395,0.007521867769408256,5
42,Linear SVM — PCA 2,linear,2,10.0,none,0.9307643717098383,0.03673336765874872,0.9494505494505494,0.02407571681341391,0.9896800825593395,0.007521867769408256,5
42,Linear SVM — PCA 2,linear,2,100.0,none,0.9307643717098383,0.03673336765874872,0.9494505494505494,0.02407571681341391,0.9896800825593395,0.007521867769408256,5
42,RBF SVM — PCA 2,rbf,2,0.01,scale,0.5211799773871929,0.032152819638134114,0.7582417582417582,0.010989010989010986,0.9775025799793602,0.011408060768161449,5
42,RBF SVM — PCA 2,rbf,2,0.01,auto,0.0,0.0,0.6263736263736264,0.0,0.9726522187822498,0.015866348670301168,5
42,RBF SVM — PCA 2,rbf,2,0.01,0.01,0.0,0.0,0.6263736263736264,0.0,0.9808049535603715,0.010386780301412669,5
42,RBF SVM — PCA 2,rbf,2,0.01,0.1,0.07687687687687687,0.07320801504973055,0.6417582417582418,0.014743305346152445,0.9768833849329205,0.012103375864745669,5
42,RBF SVM — PCA 2,rbf,2,0.01,1.0,0.0,0.0,0.6263736263736264,0.0,0.9724458204334365,0.01664676578033376,5
42,RBF SVM — PCA 2,rbf,2,0.1,scale,0.9092539769273748,0.05220604752393283,0.9340659340659341,0.03726554935783114,0.9825593395252838,0.010014840510017779,5
42,RBF SVM — PCA 2,rbf,2,0.1,auto,0.9116941261093128,0.036771464796634866,0.9318681318681319,0.02844434968251602,0.9737874097007225,0.014343385913490568,5
42,RBF SVM — PCA 2,rbf,2,0.1,0.01,0.8930975403321335,0.045440605100253446,0.9252747252747252,0.030493267968157375,0.983797729618163,0.009285058610340999,5
42,RBF SVM — PCA 2,rbf,2,0.1,0.1,0.9138175344015707,0.05022618041650383,0.9362637362637363,0.036776264902596716,0.9802889576883385,0.011615065933315242,5
42,RBF SVM — PCA 2,rbf,2,0.1,1.0,0.9216068118789804,0.035306780339914905,0.9406593406593406,0.026465043030312736,0.9716202270381837,0.015250275238525955,5
42,RBF SVM — PCA 2,rbf,2,1.0,scale,0.8944862355953905,0.0514979642619663,0.923076923076923,0.03644642626764174,0.9829721362229101,0.00882488719116978,5
42,RBF SVM — PCA 2,rbf,2,1.0,auto,0.9295931597424134,0.039153725637620526,0.9472527472527472,0.028444349682516044,0.9657378740970073,0.028442093128067152,5
42,RBF SVM — PCA 2,rbf,2,1.0,0.01,0.9149228789209035,0.05264619745713932,0.9384615384615385,0.03694007981092664,0.9867905056759547,0.007632554009123067,5
42,RBF SVM — PCA 2,rbf,2,1.0,0.1,0.9107524978669206,0.05438882636409274,0.9340659340659341,0.03885202094431582,0.978844169246646,0.010730977473212203,5
42,RBF SVM — PCA 2,rbf,2,1.0,1.0,0.9241551050081002,0.03298658697428426,0.9428571428571428,0.023823608119427225,0.9619195046439628,0.02907351713906526,5
42,RBF SVM — PCA 2,rbf,2,10.0,scale,0.9169645323311773,0.04507766428193024,0.9384615384615385,0.03259867466855236,0.9804953560371518,0.01025132000087235,5
42,RBF SVM — PCA 2,rbf,2,10.0,auto,0.9210233021295358,0.038502832998118124,0.9406593406593406,0.02865583474814348,0.9491228070175438,0.017324710284775526,5
42,RBF SVM — PCA 2,rbf,2,10.0,0.01,0.9167136245746977,0.047646441059861065,0.9384615384615385,0.03351197952082838,0.9871001031991744,0.007901647487674694,5
42,RBF SVM — PCA 2,rbf,2,10.0,0.1,0.9305451732931977,0.03453282578937882,0.9472527472527472,0.02623590414574359,0.9736842105263157,0.014516826518715385,5
42,RBF SVM — PCA 2,rbf,2,10.0,1.0,0.9146133814271387,0.03986321300881753,0.9362637362637363,0.028444349682516027,0.9456140350877194,0.016825738470993796,5
42,RBF SVM — PCA 2,rbf,2,100.0,scale,0.9236735542436343,0.021321614373532836,0.9428571428571428,0.016299337334276173,0.9799793601651187,0.011791380691189773,5
42,RBF SVM — PCA 2,rbf,2,100.0,auto,0.9212125640770141,0.03471637098793217,0.9406593406593406,0.026465043030312715,0.9377708978328174,0.02325018080856324,5
42,RBF SVM — PCA 2,rbf,2,100.0,0.01,0.914063521055029,0.04726093539795101,0.9362637362637363,0.03333132063319364,0.9858617131062951,0.008106227816988866,5
42,RBF SVM — PCA 2,rbf,2,100.0,0.1,0.9207599461126348,0.02754561983966016,0.9406593406593406,0.019962529807236194,0.9719298245614036,0.01890475364932739,5
42,RBF SVM — PCA 2,rbf,2,100.0,1.0,0.908997867803838,0.03260183014200665,0.9318681318681319,0.02382360811942722,0.9374613003095975,0.03388604253825531,5
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,0.0,0.0,0.6263736263736264,0.0,0.9523219814241486,0.020783171021987783,5
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,0.8244489247311828,0.0387973287996865,0.8813186813186814,0.02505880055162939,0.9631578947368421,0.01604821822068075,5
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,0.8676925980425969,0.04160429692588906,0.9076923076923077,0.027582198676947528,0.962125902992776,0.015235428018039872,5
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,0.8801955822189163,0.033525538484551254,0.9120879120879121,0.02457217557692078,0.9492260061919504,0.027053147373062483,5
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,100.0,none,0.8828645980884786,0.036477720020959344,0.9142857142857143,0.02623590414574359,0.9465428276573787,0.026818385953311322,5
42,Linear SVM — PCA 4,linear,4,0.01,none,0.9453088727129648,0.009187590487420723,0.9604395604395604,0.006018929203353452,0.9909184726522188,0.0071368030555294774,5
42,Linear SVM — PCA 4,linear,4,0.1,none,0.9401303012843935,0.02008238529441304,0.956043956043956,0.013458734850457028,0.9924664602683178,0.006219837442849988,5
42,Linear SVM — PCA 4,linear,4,1.0,none,0.9558952266575277,0.017625705824060204,0.9670329670329672,0.013458734850457078,0.9928792569659443,0.005330015070636433,5
42,Linear SVM — PCA 4,linear,4,10.0,none,0.9499250774037964,0.007305168061927618,0.9626373626373625,0.006018929203353452,0.9926728586171312,0.005526217021874233,5
42,Linear SVM — PCA 4,linear,4,100.0,none,0.9499250774037964,0.007305168061927618,0.9626373626373625,0.006018929203353452,0.9926728586171312,0.005526217021874233,5
42,RBF SVM — PCA 4,rbf,4,0.01,scale,0.0,0.0,0.6263736263736264,0.0,0.983797729618163,0.007982107577028805,5
42,RBF SVM — PCA 4,rbf,4,0.01,auto,0.0,0.0,0.6263736263736264,0.0,0.9829721362229102,0.00815861109434565,5
42,RBF SVM — PCA 4,rbf,4,0.01,0.01,0.0,0.0,0.6263736263736264,0.0,0.9840041279669762,0.008756740324291662,5
42,RBF SVM — PCA 4,rbf,4,0.01,0.1,0.0,0.0,0.6263736263736264,0.0,0.9840041279669762,0.007521867769408303,5
42,RBF SVM — PCA 4,rbf,4,0.01,1.0,0.0,0.0,0.6263736263736264,0.0,0.9773993808049536,0.007498824406433433,5
42,RBF SVM — PCA 4,rbf,4,0.1,scale,0.9148483825217802,0.021724484643758906,0.9384615384615385,0.014743305346152445,0.9880288957688338,0.006993600262365248,5
