stage,seed,model,status,error
inner_search,42,Linear SVM — PCA 2,SUCCESS,
inner_search,42,RBF SVM — PCA 2,SUCCESS,
inner_search,42,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
inner_search,42,Linear SVM — PCA 4,SUCCESS,
inner_search,42,RBF SVM — PCA 4,SUCCESS,
inner_search,42,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
inner_search,123,Linear SVM — PCA 2,SUCCESS,
inner_search,123,RBF SVM — PCA 2,SUCCESS,
inner_search,123,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
inner_search,123,Linear SVM — PCA 4,SUCCESS,
inner_search,123,RBF SVM — PCA 4,SUCCESS,
inner_search,123,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
inner_search,456,Linear SVM — PCA 2,SUCCESS,
inner_search,456,RBF SVM — PCA 2,SUCCESS,
inner_search,456,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
inner_search,456,Linear SVM — PCA 4,SUCCESS,
inner_search,456,RBF SVM — PCA 4,SUCCESS,
inner_search,456,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
inner_search,789,Linear SVM — PCA 2,SUCCESS,
inner_search,789,RBF SVM — PCA 2,SUCCESS,
inner_search,789,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
inner_search,789,Linear SVM — PCA 4,SUCCESS,
inner_search,789,RBF SVM — PCA 4,SUCCESS,
inner_search,789,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
inner_search,2026,Linear SVM — PCA 2,SUCCESS,
inner_search,2026,RBF SVM — PCA 2,SUCCESS,
inner_search,2026,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
inner_search,2026,Linear SVM — PCA 4,SUCCESS,
inner_search,2026,RBF SVM — PCA 4,SUCCESS,
inner_search,2026,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
outer_evaluation,42,Linear SVM — PCA 2,SUCCESS,
outer_evaluation,42,RBF SVM — PCA 2,SUCCESS,
outer_evaluation,42,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
outer_evaluation,42,Linear SVM — PCA 4,SUCCESS,
outer_evaluation,42,RBF SVM — PCA 4,SUCCESS,
outer_evaluation,42,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
outer_evaluation,123,Linear SVM — PCA 2,SUCCESS,
outer_evaluation,123,RBF SVM — PCA 2,SUCCESS,
outer_evaluation,123,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
outer_evaluation,123,Linear SVM — PCA 4,SUCCESS,
outer_evaluation,123,RBF SVM — PCA 4,SUCCESS,
outer_evaluation,123,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
outer_evaluation,456,Linear SVM — PCA 2,SUCCESS,
outer_evaluation,456,RBF SVM — PCA 2,SUCCESS,
outer_evaluation,456,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
outer_evaluation,456,Linear SVM — PCA 4,SUCCESS,
outer_evaluation,456,RBF SVM — PCA 4,SUCCESS,
outer_evaluation,456,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
outer_evaluation,789,Linear SVM — PCA 2,SUCCESS,
outer_evaluation,789,RBF SVM — PCA 2,SUCCESS,
outer_evaluation,789,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
outer_evaluation,789,Linear SVM — PCA 4,SUCCESS,
outer_evaluation,789,RBF SVM — PCA 4,SUCCESS,
outer_evaluation,789,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
outer_evaluation,2026,Linear SVM — PCA 2,SUCCESS,
outer_evaluation,2026,RBF SVM — PCA 2,SUCCESS,
outer_evaluation,2026,"QSVC — PCA 2 / 2Q (reps=1, full)",SUCCESS,
outer_evaluation,2026,Linear SVM — PCA 4,SUCCESS,
outer_evaluation,2026,RBF SVM — PCA 4,SUCCESS,
outer_evaluation,2026,"QSVC — PCA 4 / 4Q (reps=1, full)",SUCCESS,
