seed,train_size,model,model_family,pca_components,n_qubits,accuracy,precision,recall,f1,roc_auc,fit_time,prediction_time,total_runtime,pca_explained_variance,kernel_train_bytes,kernel_test_bytes,kernel_total_bytes,effective_rank,condition_number,offdiag_mean,offdiag_std,statevector_train_time,statevector_test_time,train_kernel_matrix_time,test_kernel_matrix_time,baseline_C,baseline_gamma
42,455,Linear SVM — PCA 2,Classical,2,0,0.9473684210526316,0.9090909090909092,0.9523809523809524,0.9302325581395348,0.988425925925926,0.002518499999951,0.0009273000000575,0.0034458000000086,0.633581100677249,0,0,0,,,,,,,,,1.0,none
42,455,RBF SVM — PCA 2,Classical,2,0,0.9473684210526316,0.95,0.9047619047619048,0.926829268292683,0.986441798941799,0.0018804000001182,0.0014883999997437,0.0033687999998619,0.633581100677249,0,0,0,,,,,,,,,1.0,scale
42,455,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.9210526315789472,0.9230769230769232,0.8571428571428571,0.8888888888888888,0.9818121693121692,0.0026861999999709,0.0011347999998179,0.2124523000002227,0.633581100677249,1656200,414960,2071160,7.467798213445227,3.727460679042416e+19,0.317983513169923,0.2925090770557227,0.1589223999999376,0.0474889000001894,0.0019261000002188,0.0002939000000878,1.0,none
42,455,Linear SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.951219512195122,0.9927248677248678,0.0021176999998715,0.0005264000001261,0.0026440999999977,0.7962615580754815,0,0,0,,,,,,,,,1.0,none
42,455,RBF SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.951219512195122,0.9930555555555556,0.0020202999999128,0.0017965000001822,0.003816800000095,0.7962615580754815,0,0,0,,,,,,,,,1.0,scale
42,455,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.9298245614035088,0.8863636363636364,0.9285714285714286,0.9069767441860463,0.968584656084656,0.0031267999997908,0.0007442999999511,0.6432220999995479,0.7962615580754815,1656200,414960,2071160,90.76350609256536,9.465311738222215e+18,0.0993551007981607,0.1072375100900661,0.5159746999997878,0.1206013000000894,0.0021332999999685,0.0006416999999601,1.0,none
123,455,Linear SVM — PCA 2,Classical,2,0,0.956140350877193,0.9302325581395348,0.9523809523809524,0.9411764705882352,0.9943783068783068,0.0020841999998992,0.0005482000001393,0.0026324000000386,0.63411712309742,0,0,0,,,,,,,,,1.0,none
123,455,RBF SVM — PCA 2,Classical,2,0,0.9649122807017544,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9910714285714284,0.0020394000002852,0.0016121000003295,0.0036515000006147,0.63411712309742,0,0,0,,,,,,,,,1.0,scale
123,455,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9738756613756614,0.0019542000000001,0.0006317000002127,0.1932423000002927,0.63411712309742,1656200,414960,2071160,7.264572641926978,3.319203468171594e+19,0.3281926297887239,0.2922836143377489,0.1479534999998577,0.0403779000002941,0.00186739999981,0.0004576000001179,1.0,none
123,455,Linear SVM — PCA 4,Classical,4,0,0.9824561403508772,0.9545454545454546,1.0,0.9767441860465116,0.9973544973544972,0.0020994000001337,0.0005101000001559,0.0026095000002896,0.7967641298120361,0,0,0,,,,,,,,,1.0,none
123,455,RBF SVM — PCA 4,Classical,4,0,0.9824561403508772,0.9545454545454546,1.0,0.9767441860465116,0.9983465608465608,0.0020402000000103,0.001624499999707,0.0036646999997174,0.7967641298120361,0,0,0,,,,,,,,,1.0,scale
123,455,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.9649122807017544,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9917328042328042,0.0025528999999551,0.0006978000001254,0.5489295999996102,0.7967641298120361,1656200,414960,2071160,92.66509533443232,1.525526049191634e+19,0.0981524555469526,0.1038224760387382,0.4385287000000062,0.1043421999997917,0.0023403999998663,0.0004675999998653,1.0,none
456,455,Linear SVM — PCA 2,Classical,2,0,0.956140350877193,0.9743589743589745,0.9047619047619048,0.9382716049382716,0.9894179894179894,0.0020656000001508,0.0006061999997655,0.0026717999999164,0.6443548411525268,0,0,0,,,,,,,,,1.0,none
456,455,RBF SVM — PCA 2,Classical,2,0,0.9473684210526316,0.9736842105263158,0.8809523809523809,0.925,0.980489417989418,0.0020126999997955,0.0015408999997816,0.0035535999995772,0.6443548411525268,0,0,0,,,,,,,,,1.0,scale
456,455,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.9035087719298246,0.9696969696969696,0.7619047619047619,0.8533333333333334,0.9818121693121692,0.0020997999999963,0.0006547000002683,0.2075379000002613,0.6443548411525268,1656200,414960,2071160,7.192574436914831,2.0973088100370907e+19,0.3292648563713973,0.2930560289778169,0.1550818000000617,0.0474472000000787,0.001897000000099,0.000357399999757,1.0,none
456,455,Linear SVM — PCA 4,Classical,4,0,0.9473684210526316,0.95,0.9047619047619048,0.926829268292683,0.99239417989418,0.0022472000000561,0.0005937999999332,0.0028409999999894,0.7981522013385316,0,0,0,,,,,,,,,1.0,none
456,455,RBF SVM — PCA 4,Classical,4,0,0.9473684210526316,0.95,0.9047619047619048,0.926829268292683,0.992063492063492,0.0020567999999911,0.0015782000000399,0.0036350000000311,0.7981522013385316,0,0,0,,,,,,,,,1.0,scale
456,455,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.8771929824561403,0.868421052631579,0.7857142857142857,0.825,0.9368386243386244,0.0030274999999164,0.0007546000001639,0.538921400000163,0.7981522013385316,1656200,414960,2071160,96.98518370490112,2.643364005052699e+20,0.0961547723681573,0.1010190217406299,0.4274857999998858,0.1053366000001005,0.0019007000000783,0.0004162000000178,1.0,none
789,455,Linear SVM — PCA 2,Classical,2,0,0.956140350877193,0.9111111111111112,0.9761904761904762,0.942528735632184,0.988425925925926,0.0020654999998441,0.000517899999977,0.0025833999998212,0.6320953825208835,0,0,0,,,,,,,,,1.0,none
