seed,model,kernel,pca_components,C,gamma,inner_fold,n_inner_train,n_inner_validation,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,1,364,91,0.6263736263736264,0.0,0.0,0.0,0.957688338493292
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,1,364,91,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9659442724458205
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,1,364,91,0.9120879120879121,0.9333333333333333,0.8235294117647058,0.875,0.9742002063983488
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,1,364,91,0.9120879120879121,0.9333333333333333,0.8235294117647058,0.875,0.9721362229102167
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,100.0,none,1,364,91,0.9340659340659341,0.9375,0.8823529411764706,0.9090909090909091,0.9721362229102166
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,2,364,91,0.6263736263736264,0.0,0.0,0.0,0.9700722394220846
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,2,364,91,0.8681318681318682,0.8928571428571429,0.7352941176470589,0.8064516129032258,0.9757481940144479
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,2,364,91,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9716202270381837
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,2,364,91,0.9230769230769231,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.9613003095975232
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,100.0,none,2,364,91,0.9120879120879121,0.8611111111111112,0.9117647058823529,0.8857142857142857,0.9613003095975232
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,3,364,91,0.6263736263736264,0.0,0.0,0.0,0.9385964912280702
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,3,364,91,0.8461538461538461,0.8846153846153846,0.6764705882352942,0.7666666666666667,0.9468524251805985
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,3,364,91,0.8681318681318682,0.8666666666666667,0.7647058823529411,0.8125,0.9638802889576883
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,3,364,91,0.9010989010989011,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.9643962848297213
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,100.0,none,3,364,91,0.9010989010989011,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.9618163054695563
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,4,364,91,0.6263736263736264,0.0,0.0,0.0,0.9716202270381837
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,4,364,91,0.9120879120879121,1.0,0.7647058823529411,0.8666666666666667,0.9809081527347782
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,4,364,91,0.9120879120879121,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.9649122807017543
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,4,364,91,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9437564499484005
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,100.0,none,4,364,91,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9293085655314758
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,5,364,91,0.6263736263736264,0.0,0.0,0.0,0.9236326109391124
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,5,364,91,0.8901098901098901,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9463364293085654
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,5,364,91,0.9010989010989011,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.936016511867905
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,5,364,91,0.8791208791208791,0.8484848484848485,0.8235294117647058,0.835820895522388,0.9045407636738906
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,100.0,none,5,364,91,0.8791208791208791,0.8709677419354839,0.7941176470588235,0.8307692307692308,0.9081527347781218
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.01,none,1,364,91,0.6263736263736264,0.0,0.0,0.0,0.9643962848297214
