seed,model,pca_components,n_qubits,accuracy,precision,recall,f1,roc_auc,kernel_train_time,kernel_test_time,classifier_fit_time,prediction_time,total_runtime,condition_number,min_eigenvalue,max_eigenvalue,mean_off_diagonal_similarity
42,QSVC — PCA 2 / 2 qubits,2,2,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9530423280423281,0.2636951999957091,0.0636679000017466,0.002260799999930896,0.0005839000004925765,0.3302077999978792,3.5726495230766285e+19,-5.741793959410091e-14,213.57146626406012,0.4230014241886563
42,QSVC — PCA 4 / 4 qubits,4,4,0.7982456140350878,0.7317073170731707,0.7142857142857143,0.7228915662650602,0.8776455026455027,0.8374792000031448,0.2087625999993179,0.0031054999999469146,0.0007649000035598874,1.0501122000059695,1.06864334851588e+17,-1.1396904186192683e-15,38.56435180070022,0.07966863447927158
123,QSVC — PCA 2 / 2 qubits,2,2,0.8771929824561403,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.9702380952380952,0.25724060000356985,0.0645825000028708,0.002452699998684693,0.0005916000009165145,0.32486740000604186,8.895168536069664e+19,-9.012717743392448e-14,230.03897631976423,0.4599870178408579
123,QSVC — PCA 4 / 4 qubits,4,4,0.8333333333333334,0.8709677419354839,0.6428571428571429,0.7397260273972602,0.9196428571428572,0.8470246999931987,0.21413800000300398,0.0030907999971532263,0.0008970000053523108,1.0651504999987083,4.198934103761779e+17,-2.8807645060824527e-16,40.53266627211798,0.08267194464590356
456,QSVC — PCA 2 / 2 qubits,2,2,0.8859649122807017,0.9393939393939394,0.7380952380952381,0.8266666666666667,0.9464285714285714,0.3268804000035743,0.06555929999740329,0.001874000001407694,0.0006231999941519462,0.39493689999653725,4.214833543390647e+20,-4.457486919806148e-14,215.41989001675068,0.43164191090196546
456,QSVC — PCA 4 / 4 qubits,4,4,0.7631578947368421,0.7027027027027027,0.6190476190476191,0.6582278481012658,0.8336640211640212,0.846931100000802,0.2168156000043382,0.0032228999989456497,0.0008476000002701767,1.067817200004356,2.4779818429035357e+17,-1.3181749493034194e-15,40.60134841689148,0.08268585077086409
789,QSVC — PCA 2 / 2 qubits,2,2,0.8596491228070176,0.8611111111111112,0.7380952380952381,0.7948717948717948,0.9067460317460317,0.26005199999781325,0.0730693000004976,0.0023241999952006154,0.0007400000031339005,0.3361854999966454,3.490787223683084e+19,-7.152251944236716e-14,228.22291550994169,0.4558738712507516
789,QSVC — PCA 4 / 4 qubits,4,4,0.7456140350877193,0.7241379310344828,0.5,0.5915492957746479,0.7906746031746031,1.0493783000056283,0.23767490000318503,0.0031072999991010875,0.0009781999979168177,1.2911387000058312,3.867995761307818e+17,-6.813652611592853e-16,39.479993131038015,0.08076486588643404
2026,QSVC — PCA 2 / 2 qubits,2,2,0.9035087719298246,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.9305555555555556,0.2742422000010265,0.06689629999891622,0.001993199999560602,0.0006001999936415814,0.3437318999931449,7.967612451866024e+19,-5.965100221478301e-14,190.79466692269727,0.3849147676471592
2026,QSVC — PCA 4 / 4 qubits,4,4,0.7543859649122807,0.64,0.7619047619047619,0.6956521739130435,0.8515211640211641,0.8596771999946213,0.2235727000006591,0.0030669999978272244,0.0007620999967912212,1.0870789999898989,9.795507502491504e+16,1.5689384121415672e-16,38.75894737658491,0.0798690033185937
