run_id,seed,train_size,model,pca_components,status,error
1,42,50,Linear SVM — PCA 2,2,SUCCESS,None
2,42,50,RBF SVM — PCA 2,2,SUCCESS,None
3,42,50,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
4,42,50,Linear SVM — PCA 4,4,SUCCESS,None
5,42,50,RBF SVM — PCA 4,4,SUCCESS,None
6,42,50,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
7,42,100,Linear SVM — PCA 2,2,SUCCESS,None
8,42,100,RBF SVM — PCA 2,2,SUCCESS,None
9,42,100,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
10,42,100,Linear SVM — PCA 4,4,SUCCESS,None
11,42,100,RBF SVM — PCA 4,4,SUCCESS,None
12,42,100,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
13,42,200,Linear SVM — PCA 2,2,SUCCESS,None
14,42,200,RBF SVM — PCA 2,2,SUCCESS,None
15,42,200,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
16,42,200,Linear SVM — PCA 4,4,SUCCESS,None
17,42,200,RBF SVM — PCA 4,4,SUCCESS,None
18,42,200,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
19,42,300,Linear SVM — PCA 2,2,SUCCESS,None
20,42,300,RBF SVM — PCA 2,2,SUCCESS,None
21,42,300,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
22,42,300,Linear SVM — PCA 4,4,SUCCESS,None
23,42,300,RBF SVM — PCA 4,4,SUCCESS,None
24,42,300,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
25,42,455,Linear SVM — PCA 2,2,SUCCESS,None
26,42,455,RBF SVM — PCA 2,2,SUCCESS,None
27,42,455,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
28,42,455,Linear SVM — PCA 4,4,SUCCESS,None
29,42,455,RBF SVM — PCA 4,4,SUCCESS,None
30,42,455,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
31,123,50,Linear SVM — PCA 2,2,SUCCESS,None
32,123,50,RBF SVM — PCA 2,2,SUCCESS,None
33,123,50,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
34,123,50,Linear SVM — PCA 4,4,SUCCESS,None
35,123,50,RBF SVM — PCA 4,4,SUCCESS,None
36,123,50,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
37,123,100,Linear SVM — PCA 2,2,SUCCESS,None
38,123,100,RBF SVM — PCA 2,2,SUCCESS,None
39,123,100,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
40,123,100,Linear SVM — PCA 4,4,SUCCESS,None
41,123,100,RBF SVM — PCA 4,4,SUCCESS,None
42,123,100,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
43,123,200,Linear SVM — PCA 2,2,SUCCESS,None
44,123,200,RBF SVM — PCA 2,2,SUCCESS,None
45,123,200,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
46,123,200,Linear SVM — PCA 4,4,SUCCESS,None
47,123,200,RBF SVM — PCA 4,4,SUCCESS,None
48,123,200,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
49,123,300,Linear SVM — PCA 2,2,SUCCESS,None
50,123,300,RBF SVM — PCA 2,2,SUCCESS,None
51,123,300,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
52,123,300,Linear SVM — PCA 4,4,SUCCESS,None
53,123,300,RBF SVM — PCA 4,4,SUCCESS,None
54,123,300,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
55,123,455,Linear SVM — PCA 2,2,SUCCESS,None
56,123,455,RBF SVM — PCA 2,2,SUCCESS,None
57,123,455,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
58,123,455,Linear SVM — PCA 4,4,SUCCESS,None
59,123,455,RBF SVM — PCA 4,4,SUCCESS,None
60,123,455,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
61,456,50,Linear SVM — PCA 2,2,SUCCESS,None
62,456,50,RBF SVM — PCA 2,2,SUCCESS,None
63,456,50,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
64,456,50,Linear SVM — PCA 4,4,SUCCESS,None
65,456,50,RBF SVM — PCA 4,4,SUCCESS,None
66,456,50,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
67,456,100,Linear SVM — PCA 2,2,SUCCESS,None
68,456,100,RBF SVM — PCA 2,2,SUCCESS,None
