model,model_family,pca_components,n_qubits,train_size,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,runtime_mean,runtime_std,pca_explained_variance_mean,pca_explained_variance_std,kernel_total_bytes_mean,effective_rank_mean,effective_rank_std,offdiag_std_mean,offdiag_std_std,condition_number_mean,condition_number_std
Linear SVM — PCA 2,Classical,2,0,50,5,0.9333333333333332,0.035415139014362024,0.8726098213979805,0.06993123602148406,0.9666666666666666,0.027147033930931846,0.9157377379820233,0.0401988850094294,0.9873677248677248,0.008700295645141553,0.0026252199999362348,0.002251360700096731,0.656971060732707,0.01205700903761657,0.0,,,,,,
RBF SVM — PCA 2,Classical,2,0,50,5,0.9263157894736841,0.02815229216821265,0.9006164220073994,0.0602551999038114,0.9047619047619048,0.05323971374999498,0.9007879770915934,0.035330871719936124,0.9838624338624339,0.007193505519142218,0.0019315400000778026,0.0005324676776814005,0.656971060732707,0.01205700903761657,0.0,,,,,,
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,50,5,0.8245614035087719,0.038735793273367736,0.8242427283122009,0.09565033876799096,0.6761904761904762,0.06432979088622044,0.7398492726349273,0.05307227186130257,0.8849867724867725,0.04841240476824238,0.07656852000009166,0.028746825216939862,0.656971060732707,0.01205700903761657,65600.0,8.69371230294685,0.45190703154460493,0.2488838820911267,0.0072516802182878174,7.70074383031656e+17,2.3708208702838397e+17
Linear SVM — PCA 4,Classical,4,0,50,5,0.9315789473684211,0.035306336486838806,0.8856721981721982,0.08928115417943534,0.9476190476190476,0.026082026547865022,0.9127577826996431,0.03949582994645306,0.9893518518518517,0.008957307275600063,0.001673039999877801,0.0005461061554078079,0.8255179417714509,0.018784145047327727,0.0,,,,,,
RBF SVM — PCA 4,Classical,4,0,50,5,0.9421052631578947,0.02948725669117826,0.9196543686090723,0.06067612142166119,0.9285714285714286,0.05583828285504079,0.9222224101678332,0.03845610050740309,0.9863756613756614,0.005986271831058025,0.0019378200000573997,0.00038877275753077483,0.8255179417714509,0.018784145047327727,0.0,,,,,,
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,50,5,0.7263157894736842,0.07164041048805408,0.6931114718614719,0.14439382420902339,0.4095238095238095,0.21455010144892975,0.4993941038183068,0.21097784704835226,0.7635582010582012,0.10816500196450698,0.16903496000004453,0.005948577317080937,0.8255179417714509,0.018784145047327727,65600.0,39.28605210594652,0.896428387975072,0.08106472946916031,0.005232730456229842,58.3873666522755,42.952980130630664
Linear SVM — PCA 2,Classical,2,0,100,5,0.9473684210526315,0.017543859649122806,0.9310514723876334,0.045383360170912324,0.9285714285714285,0.041239304942116126,0.9286606078324677,0.022664372505951217,0.9884259259259259,0.006728501967386157,0.0014396800001122757,9.683319147479587e-05,0.6445712517734654,0.01255880784988718,0.0,,,,,,
RBF SVM — PCA 2,Classical,2,0,100,5,0.9245614035087719,0.0237004492738707,0.9085843164822626,0.058472895628298195,0.8904761904761905,0.06859457281375206,0.8965949872036287,0.03169066173357769,0.9848544973544973,0.00915653046708001,0.0019664600000396603,0.00019323415310895284,0.6445712517734654,0.01255880784988718,0.0,,,,,,
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,100,5,0.8614035087719298,0.01901709069182348,0.8679193358660923,0.0647083351266685,0.7428571428571429,0.03912303982179756,0.7983004356533769,0.020693237239073167,0.9213624338624339,0.010142471246795745,0.07793134000021382,0.009508682265925408,0.6445712517734654,0.01255880784988718,171200.0,8.396204460877202,0.396275335325351,0.263726315557555,0.008093255983036746,1.848383364944028e+19,3.1034833378559717e+19
Linear SVM — PCA 4,Classical,4,0,100,5,0.9421052631578947,0.028827503026587684,0.9245891275010267,0.06751121717352628,0.9238095238095237,0.048795003647426664,0.9222023760641648,0.035547333739496006,0.9890211640211641,0.007436433351970026,0.0014720599999236584,9.428938445466791e-05,0.8024809333689337,0.011756707718471858,0.0,,,,,,
RBF SVM — PCA 4,Classical,4,0,100,5,0.9385964912280702,0.013869638860387619,0.9256163386230576,0.037989859361997724,0.9095238095238095,0.06388765649999396,0.9154784047992515,0.02174492378336388,0.9883597883597883,0.004445261247065167,0.001996179999969172,0.00025890507320343743,0.8024809333689337,0.011756707718471858,0.0,,,,,,
