seed,pca_components,model,selected_C,selected_gamma,inner_cv_f1_mean
42,2,Linear SVM — PCA 2,0.1,none,0.9410494120266822
42,4,Linear SVM — PCA 4,1.0,none,0.9558952266575277
123,2,Linear SVM — PCA 2,1.0,none,0.9319218700399752
123,4,Linear SVM — PCA 4,100.0,none,0.9482061510272756
456,2,RBF SVM — PCA 2,100.0,scale,0.9318540878139305
456,4,RBF SVM — PCA 4,10.0,scale,0.9589640174299314
789,2,Linear SVM — PCA 2,0.1,none,0.940723145490867
789,4,RBF SVM — PCA 4,100.0,0.01,0.9490728177295342
2026,2,RBF SVM — PCA 2,10.0,0.01,0.9390387800605191
2026,4,Linear SVM — PCA 4,0.1,none,0.9606796057631668
