seed,model,kernel,pca_components,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds,selected_C,selected_gamma,search_runtime
42,Linear SVM — PCA 2,linear,2,0.9410494120266822,0.023997097184304126,0.956043956043956,0.017375151978947158,0.9885448916408668,0.006500319309916933,5,0.1,none,0.2931355999999141
42,RBF SVM — PCA 2,rbf,2,0.9305451732931977,0.03453282578937882,0.9472527472527472,0.02623590414574359,0.9736842105263157,0.014516826518715385,5,10.0,0.1,1.5699870000003102
42,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.8828645980884786,0.036477720020959344,0.9142857142857143,0.02623590414574359,0.9465428276573787,0.026818385953311322,5,100.0,none,1.1180135999998129
42,Linear SVM — PCA 4,linear,4,0.9558952266575277,0.017625705824060204,0.9670329670329672,0.013458734850457078,0.9928792569659443,0.005330015070636433,5,1.0,none,0.32332280000036917
42,RBF SVM — PCA 4,rbf,4,0.9531898969575027,0.018905124669678343,0.9648351648351647,0.014327917374071748,0.9924664602683178,0.006419950883383221,5,100.0,0.01,1.6334682000001521
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.871281863916135,0.06713444562023267,0.9076923076923077,0.04504154182839382,0.9687306501547989,0.009895826895994764,5,1.0,none,2.565434599999662
123,Linear SVM — PCA 2,linear,2,0.9319218700399752,0.04699629658843464,0.9494505494505494,0.03351197952082839,0.9874097007223941,0.013324288356309144,5,1.0,none,0.28073700000004465
123,RBF SVM — PCA 2,rbf,2,0.9273173203607987,0.05665983013146945,0.9472527472527472,0.03992505961447243,0.9662538699690403,0.026656568488690146,5,10.0,0.1,1.5283782999999858
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.9015295718494747,0.06833004080349386,0.9296703296703296,0.04436621810590408,0.9533539731682147,0.050267373988463745,5,100.0,none,1.0343511000000944
123,Linear SVM — PCA 4,linear,4,0.9482061510272756,0.04277949681886479,0.9626373626373625,0.02969067271671718,0.9924664602683178,0.010368821176675643,5,100.0,none,0.31071939999992537
123,RBF SVM — PCA 4,rbf,4,0.9431552760964526,0.03779740181643351,0.9582417582417582,0.027362416698876322,0.9893704850361196,0.012933907693106591,5,10.0,scale,1.792842599999858
123,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.8387472249514367,0.020182267091518342,0.8835164835164836,0.014743305346152442,0.9525283797729618,0.019786944776897904,5,1.0,none,2.7057903000004444
456,Linear SVM — PCA 2,linear,2,0.9246283001036522,0.03175646104525416,0.945054945054945,0.02197802197802201,0.9893704850361196,0.0073481870459930106,5,1.0,none,0.30892359999961627
456,RBF SVM — PCA 2,rbf,2,0.9318540878139305,0.030296109844889445,0.9494505494505494,0.02278729819047005,0.9746130030959751,0.016693881999433943,5,100.0,scale,1.6164865000000646
